pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
山口県,3508,萩,HbA1c,糖尿病,5535,497,0.0897922312556459,2587,302,0.1167375338229609,2948,195,0.066146540027137,0.8257683662085027,58.25768366208503
山形県,601,村山,HbA1c,糖尿病,93946,7823,0.0832712409256381,49505,5211,0.1052620947379052,44441,2612,0.0587745550280146,0.2788902729172171,52.78890272917217
山形県,602,最上,HbA1c,糖尿病,12721,1247,0.0980268846788774,6479,791,0.122086741781139,6242,456,0.0730535084908683,1.516361563730699,65.16361563730699
山形県,603,置賜,HbA1c,糖尿病,36734,2917,0.079408722164752,20330,1984,0.0975897688145597,16404,933,0.0568763716166788,-0.04503704308183705,49.54962956918163
山形県,604,庄内,HbA1c,糖尿病,39227,2942,0.0749993626838657,20762,1983,0.0955110297659185,18465,959,0.0519360953154616,-0.4148247568354434,45.851752431645565
山梨県,1901,中北,HbA1c,糖尿病,102488,7774,0.0758527827648114,52973,5337,0.1007494383931436,49515,2437,0.0492174088660002,-0.3432533047974946,46.56746695202506
山梨県,1902,峡東,HbA1c,糖尿病,28992,2373,0.0818501655629139,14662,1582,0.1078979675351248,14330,791,0.05519888346127,0.15971282509712387,51.59712825097124
山梨県,1903,峡南,HbA1c,糖尿病,12525,1160,0.0926147704590818,6299,767,0.1217653595808858,6226,393,0.0631223899775136,1.06247855587276,60.6247855587276
山梨県,1904,富士・東部,HbA1c,糖尿病,34505,2838,0.0822489494276191,18616,2057,0.1104963472281908,15889,781,0.0491535024230599,0.19315654277321603,51.93156542773216
岐阜県,2101,岐阜,HbA1c,糖尿病,163130,11574,0.0709495494390976,87699,8018,0.091426356058792,75431,3556,0.0471424215508212,-0.7544593879884579,42.45540612011542
岐阜県,2102,西濃,HbA1c,糖尿病,77246,5712,0.073945576469979,42228,4029,0.0954106280193236,35018,1683,0.0480609972014392,-0.5031997683325565,44.968002316674436
岐阜県,2103,中濃,HbA1c,糖尿病,74612,5430,0.0727764970782179,41297,3775,0.0914109983776061,33315,1655,0.04967732252739,-0.6012437580208041,43.987562419791956
岐阜県,2104,東濃,HbA1c,糖尿病,73327,5298,0.0722516944645219,39766,3724,0.0936478398631997,33561,1574,0.0468996752182592,-0.6452559460793639,43.54744053920636
岐阜県,2105,飛騨,HbA1c,糖尿病,35103,2585,0.0736404295929122,18497,1770,0.0956911931664594,16606,815,0.0490786462724316,-0.5287906884012699,44.7120931159873
岡山県,3301,県南東部,HbA1c,糖尿病,142038,10394,0.0731776003604669,73864,7181,0.0972192136900249,68174,3213,0.0471294041716783,-0.567605524085722,44.32394475914278
岡山県,3302,県南西部,HbA1c,糖尿病,106751,8314,0.0778821744058603,57007,5699,0.0999701791008121,49744,2615,0.0525691540688324,-0.17305985640500637,48.26940143594994
岡山県,3303,高梁・新見,HbA1c,糖尿病,8894,841,0.0945581290757814,4845,584,0.1205366357069143,4049,257,0.0634724623363793,1.2254569074877362,62.25456907487736
岡山県,3304,真庭,HbA1c,糖尿病,6573,583,0.0886961813479385,3332,369,0.1107442977190876,3241,214,0.0660290033940142,0.7338489408842829,57.33848940884283
