pref_code,pref,pref_en,area,topo_id,region_code,region_name,domain,indicator,n_total,n_risk,risk_rate,risk_rate_pct,n_male,n_risk_male,risk_rate_male,risk_rate_male_pct,n_female,n_risk_female,risk_rate_female,risk_rate_female_pct
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,CKD,eGFR,2601,317,0.1218762014609765,12.19,1588,208,0.1309823677581864,13.1,1013,109,0.1076011846001974,10.76
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,CKD,尿蛋白,19820,687,0.0346619576185671,3.47,10680,496,0.046441947565543,4.64,9140,191,0.0208971553610503,2.09
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,心血管,LDL,19774,5051,0.255436431677961,25.54,10577,2635,0.2491254609057388,24.91,9197,2416,0.2626943568554963,26.27
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,心血管,中性脂肪,19932,3835,0.1924041741922536,19.24,10666,2611,0.2447965497843615,24.48,9266,1224,0.1320958342326786,13.21
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,心血管,収縮期血圧,19966,5527,0.2768205950115195,27.68,10689,3295,0.3082608288895125,30.83,9277,2232,0.2405950199417915,24.06
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,心血管,心電図,457,33,0.0722100656455142,7.22,268,22,0.0820895522388059,8.21,189,11,0.0582010582010582,5.82
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,糖尿病,HbA1c,16276,1609,0.0988572130744654,9.89,8297,1065,0.1283596480655658,12.84,7979,544,0.0681789697957137,6.82
01,北海道,Hokkaido,北海道,JP.HK,107,中空知,糖尿病,空腹時血糖,16237,1344,0.0827739114368417,8.28,8531,974,0.1141718438635564,11.42,7706,370,0.0480145341292499,4.8
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,CKD,eGFR,877,94,0.1071835803876852,10.72,569,62,0.1089630931458699,10.9,308,32,0.1038961038961039,10.39
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,CKD,尿蛋白,5545,116,0.0209197475202885,2.09,2968,88,0.0296495956873315,2.96,2577,28,0.0108653473030655,1.09
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,心血管,LDL,5490,1349,0.245719489981785,24.57,2919,723,0.2476875642343268,24.77,2571,626,0.2434850252819914,24.35
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,心血管,中性脂肪,5554,966,0.17392870003601,17.39,2969,684,0.2303805995284607,23.04,2585,282,0.109090909090909,10.91
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,心血管,収縮期血圧,5569,1176,0.2111689710899623,21.12,2979,720,0.2416918429003021,24.17,2590,456,0.176061776061776,17.61
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,心血管,心電図,0,0,,,0,0,,,0,0,,
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,糖尿病,HbA1c,5158,496,0.0961613028305544,9.62,2746,346,0.1260014566642389,12.6,2412,150,0.0621890547263681,6.22
01,北海道,Hokkaido,北海道,JP.HK,108,北空知,糖尿病,空腹時血糖,4844,338,0.069777043765483,6.98,2524,250,0.0990491283676703,9.9,2320,88,0.0379310344827586,3.79
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,CKD,eGFR,2738,194,0.0708546384222059,7.09,1336,127,0.0950598802395209,9.51,1402,67,0.0477888730385164,4.78
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,CKD,尿蛋白,33405,1223,0.0366112857356683,3.66,17986,867,0.0482041587901701,4.82,15419,356,0.02308839743174,2.31
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,心血管,LDL,33492,9260,0.2764839364624388,27.65,17970,4797,0.2669449081803005,26.69,15522,4463,0.2875273804922046,28.75
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,心血管,中性脂肪,33497,5995,0.17897125115682,17.9,17972,4166,0.2318050300467393,23.18,15525,1829,0.1178099838969404,11.78
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,心血管,収縮期血圧,33557,8218,0.24489674285544,24.49,18016,4756,0.26398756660746,26.4,15541,3462,0.2227655878000128,22.28
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,心血管,心電図,374,154,0.4117647058823529,41.18,253,110,0.4347826086956521,43.48,121,44,0.3636363636363636,36.36
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,糖尿病,HbA1c,23456,1878,0.0800648021828103,8.01,11812,1244,0.1053166271588215,10.53,11644,634,0.05444864307798,5.44
01,北海道,Hokkaido,北海道,JP.HK,109,西胆振,糖尿病,空腹時血糖,25530,1996,0.0781825303564434,7.82,14486,1544,0.1065856689217175,10.66,11044,452,0.04092720028975,4.09
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,CKD,eGFR,4999,368,0.0736147229445889,7.36,3158,248,0.0785307156428119,7.85,1841,120,0.0651819663226507,6.52
