pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
山梨県,1903,峡南,HbA1c,糖尿病,12525,1160,0.09261477045908184,6299,767,0.12176535958088586,6226,393,0.06312238997751365
山梨県,1904,富士・東部,HbA1c,糖尿病,34505,2838,0.08224894942761919,18616,2057,0.11049634722819081,15889,781,0.04915350242305998
岐阜県,2101,岐阜,HbA1c,糖尿病,163130,11574,0.07094954943909765,87699,8018,0.091426356058792,75431,3556,0.04714242155082128
岐阜県,2102,西濃,HbA1c,糖尿病,77246,5712,0.07394557646997903,42228,4029,0.09541062801932366,35018,1683,0.04806099720143926
岐阜県,2103,中濃,HbA1c,糖尿病,74612,5430,0.07277649707821798,41297,3775,0.09141099837760612,33315,1655,0.049677322527390065
岐阜県,2104,東濃,HbA1c,糖尿病,73327,5298,0.07225169446452194,39766,3724,0.09364783986319972,33561,1574,0.04689967521825929
岐阜県,2105,飛騨,HbA1c,糖尿病,35103,2585,0.07364042959291228,18497,1770,0.09569119316645942,16606,815,0.04907864627243165
岡山県,3301,県南東部,HbA1c,糖尿病,142038,10394,0.07317760036046692,73864,7181,0.09721921369002491,68174,3213,0.04712940417167835
岡山県,3302,県南西部,HbA1c,糖尿病,106751,8314,0.07788217440586037,57007,5699,0.09997017910081218,49744,2615,0.05256915406883242
岡山県,3303,高梁・新見,HbA1c,糖尿病,8894,841,0.09455812907578143,4845,584,0.12053663570691435,4049,257,0.06347246233637935
岡山県,3304,真庭,HbA1c,糖尿病,6573,583,0.08869618134793854,3332,369,0.11074429771908763,3241,214,0.0660290033940142
岡山県,3305,津山・英田,HbA1c,糖尿病,23840,2086,0.0875,12247,1368,0.11170082469176125,11593,718,0.06193392564478565
岩手県,0301,盛岡,HbA1c,糖尿病,83904,6180,0.07365560640732266,42409,4166,0.09823386545308779,41495,2014,0.048535968188938426
岩手県,0302,岩手中部,HbA1c,糖尿病,38715,2640,0.06819062378922898,20400,1826,0.08950980392156863,18315,814,0.044444444444444446
岩手県,0303,胆江,HbA1c,糖尿病,23907,1776,0.07428786547873008,12465,1136,0.09113517849979944,11442,640,0.055934277224261496
岩手県,0304,両磐,HbA1c,糖尿病,20975,1593,0.07594755661501788,11186,1077,0.09628106561773646,9789,516,0.05271222801103279
岩手県,0305,気仙,HbA1c,糖尿病,10906,862,0.07903906106730241,5382,558,0.10367892976588629,5524,304,0.05503258508327299
岩手県,0306,釜石,HbA1c,糖尿病,7131,541,0.07586593745617726,3627,364,0.1003584229390681,3504,177,0.05051369863013699
岩手県,0307,宮古,HbA1c,糖尿病,12127,876,0.0722355075451472,6099,597,0.09788489916379735,6028,279,0.04628400796284008
岩手県,0308,久慈,HbA1c,糖尿病,9527,762,0.07998320562611524,4914,512,0.10419210419210419,4613,250,0.05419466724474312
岩手県,0309,二戸,HbA1c,糖尿病,9740,921,0.09455852156057495,4894,573,0.11708214139762975,4846,348,0.07181180354931903
島根県,3201,松江,HbA1c,糖尿病,46128,3418,0.0740981616371835,23640,2332,0.09864636209813875,22488,1086,0.04829242262540021
島根県,3202,雲南,HbA1c,糖尿病,10095,698,0.0691431401684002,5412,523,0.09663710273466371,4683,175,0.03736920777279522
島根県,3203,出雲,HbA1c,糖尿病,31396,2131,0.06787488852083068,16367,1487,0.09085354677094153,15029,644,0.04285048905449464
島根県,3204,大田,HbA1c,糖尿病,11099,1085,0.09775655464456258,5673,683,0.12039485281156355,5426,402,0.07408772576483598
島根県,3205,浜田,HbA1c,糖尿病,16566,1459,0.08807195460581915,8962,990,0.11046641374693149,7604,469,0.06167806417674908
島根県,3206,益田,HbA1c,糖尿病,12488,1124,0.0900064061499039,6622,761,0.11491996375717306,5866,363,0.06188203204909649
島根県,3207,隠岐,HbA1c,糖尿病,4077,316,0.07750797154770665,2111,219,0.10374230222643296,1966,97,0.049338758901322485
広島県,3401,広島,HbA1c,糖尿病,230216,15522,0.0674236369322723,124816,11442,0.09167093962312524,105400,4080,0.03870967741935484
広島県,3402,広島西,HbA1c,糖尿病,22718,1592,0.07007659124922969,11733,1117,0.09520156822637006,10985,475,0.0432407828857533
広島県,3403,呉,HbA1c,糖尿病,33420,2507,0.07501496110113705,17450,1746,0.10005730659025788,15970,761,0.04765184721352536
広島県,3404,広島中央,HbA1c,糖尿病,33418,2281,0.06825662816446226,18787,1658,0.08825251503699366,14631,623,0.042580821543298474
広島県,3405,尾三,HbA1c,糖尿病,34453,2810,0.08156038661364758,18118,1926,0.10630312396511757,16335,884,0.054116926844199574
広島県,3406,福山・府中,HbA1c,糖尿病,74921,5609,0.0748655250196874,39332,3992,0.10149496593104851,35589,1617,0.04543538733878445
広島県,3407,備北,HbA1c,糖尿病,13570,1305,0.09616801768607222,6748,854,0.12655601659751037,6822,451,0.06610964526531808
徳島県,3601,東部,HbA1c,糖尿病,77870,5555,0.07133684345704379,38670,3678,0.09511249030256012,39200,1877,0.04788265306122449
徳島県,3603,南部,HbA1c,糖尿病,22336,1738,0.07781160458452722,11239,1129,0.10045377702642584,11097,609,0.05487969721546364
徳島県,3605,西部,HbA1c,糖尿病,12626,1214,0.09615079993663868,6308,802,0.12714013950539,6318,412,0.0652105096549541
愛媛県,3801,宇摩,HbA1c,糖尿病,15944,1148,0.07200200702458605,8528,796,0.09333958724202626,7416,352,0.04746494066882417
愛媛県,3802,新居浜・西条,HbA1c,糖尿病,33685,2447,0.0726436099153926,16724,1663,0.09943793350872997,16961,784,0.04622368964094098
愛媛県,3803,今治,HbA1c,糖尿病,23652,1586,0.06705564011500084,12451,1104,0.0886675769014537,11201,482,0.04303187215427194
愛媛県,3804,松山,HbA1c,糖尿病,131259,9078,0.06916097181907527,68619,6447,0.09395356971101299,62640,2631,0.04200191570881226
愛媛県,3805,八幡浜・大洲,HbA1c,糖尿病,23514,1853,0.07880411669643617,12236,1277,0.10436417129780974,11278,576,0.05107288526334457
愛媛県,3806,宇和島,HbA1c,糖尿病,19335,1605,0.08301008533747091,8906,1012,0.11363125982483718,10429,593,0.05686067695848116
愛知県,2302,海部,HbA1c,糖尿病,58726,4585,0.07807444743384531,31318,3189,0.10182642569768184,27408,1396,0.05093403385872738
愛知県,2304,尾張東部,HbA1c,糖尿病,94641,6143,0.06490844348643822,51071,4411,0.08636995555207456,43570,1732,0.0397521230204269
愛知県,2305,尾張西部,HbA1c,糖尿病,105450,8071,0.07653864390706495,54157,5358,0.09893457909411525,51293,2713,0.052892207513695826
愛知県,2306,尾張北部,HbA1c,糖尿病,135553,9492,0.07002427094937036,72861,6568,0.09014424726534086,62692,2924,0.046640719709053785
愛知県,2307,知多半島,HbA1c,糖尿病,141813,12140,0.08560569200284882,77257,8376,0.10841736023920162,64556,3764,0.058305966912448104
愛知県,2308,西三河北部,HbA1c,糖尿病,104333,7966,0.0763516816347656,60725,5703,0.09391519143680527,43608,2263,0.05189414786277747
愛知県,2309,西三河南部西,HbA1c,糖尿病,128571,10906,0.0848247271935351,72041,7707,0.10698074707458254,56530,3199,0.05658942154608173
愛知県,2310,西三河南部東,HbA1c,糖尿病,83547,7237,0.0866219014446958,44819,4831,0.10778910729824405,38728,2406,0.06212559388556083
愛知県,2311,東三河北部,HbA1c,糖尿病,10877,1007,0.09258067481842419,5827,693,0.11892912304788056,5050,314,0.06217821782178218
